nom,image,type_cooperative,siege_social,nom_responsable,contact_responsable,region,departement,arrondissement,village,coordonnees_gps,id_coop,id
SOCOPEAN,,,,,,,,,,,SOCb436d,1
GIC CONFIANCE,,,,,,,,,,,GIC8a916,2
SOPROCAEB COOP CA,,,,,,,,,,,SOP318c5,3
SOPROCAET,,,,,,,,,,,SOP9dcb4,4
SCCAO-Q COOP-CA,,,,,,,,,,,SCC0eec5,5
SCOOPS SPARK,,,,,,,,,,,SCO3ab59,6
SOCOPAEM COOP CA,,,,,,,,,,,SOCe118d,7
SOCOOPAUB COOP CA,,,,,,,,,,,SOC5c89e,8
GIC AT,,,,,,,,,,,GICd7e7a,9
COOPROCAET COOP-CA,,,,,,,,,,,COO353d4,10
COOPROBI COOP-CA,,,,,,,,,,,COO22ef5,11
COOPAEN,,,,,,,,,,,COOfd652,12
COOP-CA FEVES DE QUALITE,,,,,,,,,,,COO4dd89,13
GIC PLABI,,,,,,,,,,,GICcf38a,14
SOCOOPAGRETO COOP-CA,,,,,,,,,,,SOC36a44,15
SOCOOPAMB COOP CA,,,,,,,,,,,SOCdc13d,16
SOCAPEN COOP CA,,,,,,,,,,,SOC85f60,17
GIC ADE,,,,,,,,,,,GIC6e038,18
SOCER COOP CA,,,,,,,,,,,SOC319fe,19
GIC SIMPLICE,,,,,,,,,,,GIC6e28b,20
AMS,,,,,,,,,,,AMSc2c87,21
SOPROPABASCOOP CA,,,,,,,,,,,SOP2cf5b,22
SOCOPANGO,,,,,,,,,,,SOC6a45a,23
SOCOPLABAS,,,,,,,,,,,SOC6ede1,24
SOPROPABAD COOP CA,,,,,,,,,,,SOPb3214,25
MBANGASUD,,,,,,,,,,,MBA40907,26
MBANGASUD,,,,,,,,,,,MBAc3716,27
SOCOPLABAS COOP CA,,,,,,,,,,,SOCfd9d0,28
SOPBAPALM COOP CA,,,,,,,,,,,SOPb0d31,29
SOPRAE,,,,,,,,,,,SOP838b9,30
SOCOOPEAM COOP-CA,,,,,,,,,,,SOCe16c5,31
SOCOOPEAM COOP-CA,,,,,,,,,,,SOC720b3,32
SOCOPANKIM,,,,,,,,,,,SOC1e316,33
UCOOM,,,,,,,,,,,UCO9ab1e,34
SOPRAEB COOP CA,,,,,,,,,,,SOPdad25,35
SOCCOPROCAEM,,,,,,,,,,,SOC2ac61,36
OMBOLI,,,,,,,,,,,OMBad2dc,37
KOUNOU ROGER,,,,,,,,,,,KOU9b2f7,38
